id,sentence,genre
8dLOs8LK4OQ_seg_00001,না না না না না স্বপ্নের বালুকায়,Pop
8dLOs8LK4OQ_seg_00002,কেউ কি পালুকায় যদি না আসে ভেজা দিন ইচ্ছে হিমালয় হয় না কভু ক্ষয় হৃদয়ে,Pop
8dLOs8LK4OQ_seg_00003,থাকে অমলিন কিছু স্বপ্ন কিছু ইচ্ছে এই আমায় টেনে নিচ্ছে তোমার কাছে বারবার,Pop
8dLOs8LK4OQ_seg_00004,কেউ না জানুক আমি তো জানি আমি তোমার কেউ না জানুক তুমি তো জানো তুমি আমার,Pop
8dLOs8LK4OQ_seg_00005,কেউ না জানো আমি তো জানি আমি তোমার,Pop
8dLOs8LK4OQ_seg_00006,আর কেউ না জানুক তুমি তো জানো তুমি আমার,Pop
8dLOs8LK4OQ_seg_00007,সব লেনা দেনা হয় না কভু শেষ আজীবন কিছু কিছু থেকে যায় রেশ সব লেনা দেনা,Pop
8dLOs8LK4OQ_seg_00008,হয় না কভু শেষ আজীবন কিছু কিছু থেকে যায় রেশ ভালোবাসা,Pop
8dLOs8LK4OQ_seg_00009,পুড়ায় না প্রেম কভু হারায় না অনুভবে থাকে যার যার,Pop
8dLOs8LK4OQ_seg_00010,কেউ না জানুক আমি তো জানি আমি তোমার কেউ না জানুক তুমি তো জানো তুমি আমার,Pop
8dLOs8LK4OQ_seg_00011,কেউ না জানুক আমি তো জানি আমি তোমার,Pop
8dLOs8LK4OQ_seg_00012,সব জানা সোনা লাগে না পরিচয় দূর থেকে কারো কারো ছায়া কথা কয় সব জানা শোনা,Pop
8dLOs8LK4OQ_seg_00013,লাগে না পরিচয় দূর থেকে কারো কারো ছায়া কথা কয়,Pop
8dLOs8LK4OQ_seg_00014,ভালোবাসা সা পুরায় না প্রেম কভু হারায় না অনুভবে থাকে যার যা,Pop
8dLOs8LK4OQ_seg_00015,কেউ না জানুক আমি তো জানি আমি তোমার কেউ না জানুক তুমি তো জানো তুমি আমার,Pop
8dLOs8LK4OQ_seg_00016,কেউ না যেন আমি তো জানি আমি তোমার,Pop
8dLOs8LK4OQ_seg_00017,কেউ না যেন তুমি তো যেন আমি তোমার ও ও,Pop
aOJYulVhCWk_seg_00001,হয়তো তোমার হাসি খুবই ভালো লাগে নয়তো তোমার নীরবতা বড় কানে লাগে আগে হয়তো,Alternative
aOJYulVhCWk_seg_00002,মন মনে মনে তোমায় ডাকে নয়তো না পেয়ে তোমায় হারাবার হয়ে থাকে হয়তো নয়তো হবে বেশি,Alternative
aOJYulVhCWk_seg_00003,অল্পে কাছে আসার এই গল্পে তুমি দূরে থাকো বা বুকেরই বাতাসে তুমি মনে রাখো,Alternative
aOJYulVhCWk_seg_00004,না রাখো আমাকে ঠিক আছে ঠিক আছে তুমি দূরে থাকো মা বুকেরই,Alternative
aOJYulVhCWk_seg_00005,বাতাসে তুমি মনে রাখো না রাখো আমাকে ঠিক আছে,Alternative
aOJYulVhCWk_seg_00006,হয়তো চোখে চোখে কত কথা বলি নয়তো তোমার বলা বলা কথা শেষ করি আমাদের টান নেই কোন,Alternative
aOJYulVhCWk_seg_00007,অভিধানে হয়তো বুঝি তোমায় নয়তো খুঁজি অনুমানে হয়তো নয়তো হবে বেশি অল্পে কাছে আসার এই,Alternative
aOJYulVhCWk_seg_00008,গল্পে তুমি দূরে থাকো বা বুকেরই বাসে তুমি মনে রাখো না রাখো আমাকে ঠিক আছে,Alternative
aOJYulVhCWk_seg_00009,ঠিক আছে তুমি দূরে থাকো মা বুকেরই বাসে তুমি মনে রাখো না রাখো আমাকে,Alternative
-Bfa-aVa7MU_seg_00001,তোমার অবাক অবাক চোখ আমার হারিয়ে যাওয়ার শুরু তোমার একলা দুপুর জু দূরে আমার বুকটা দূরু,Rock 
-Bfa-aVa7MU_seg_00002,দূরু তোমার উতাস চুলের ভাজে মৃদু যোছনা মাখা গন্ধ,Rock
-Bfa-aVa7MU_seg_00003,আমায় বাসতে দিও ভালো আমি বুঝিলে ভালো মন্দ আমার হারিয়ে,Rock
-Bfa-aVa7MU_seg_00004,যাওয়ার শুরু আমার হারিয়ে যাওয়ার শুরু,Rock
-Bfa-aVa7MU_seg_00005,আমার হারিয়ে যাওয়ার আমার হাজার মার,Rock
-Bfa-aVa7MU_seg_00006,তোমার অবাক অবাক চোখ আমার হারিয়ে যাওয়া আমার শুরু তোমার একলা দুপুর জুড়ে আমার বুকটা দূরু দূরু,Rock
-Bfa-aVa7MU_seg_00007,তোমার উতাস চুলের ভাজে মৃদু যোছনা মাখা গন্ধ আমার দ্বিধা ভরা আঙ্গুল,Rock
-Bfa-aVa7MU_seg_00008,মনে হাজার রঙের দন্দ আমার হারিয়ে যাওয়ার শুরু আমার হারিয়ে,Rock
-Bfa-aVa7MU_seg_00009,যাওয়ার শুরু আমার হারিয়ে সবার সুখ আমার,Rock
BWIW9aBNmlk_seg_00001,ভেজা সন্ধ্যা অঝর বৃষ্টি দূর আকাশ আকাশে মেঘের প্রতি ধ্বনি বাদলে ঘিরেছে আকাশ বইছে বাতাস আড়ালে,Pop
BWIW9aBNmlk_seg_00002,দাঁড়িয়ে তুমি আর আমি হয়নি বলা কোন কথা শুধু হয়েছে অনুভূতি হয়নি,Pop
BWIW9aBNmlk_seg_00003,বলা কোন কথা শুধু,Pop
BWIW9aBNmlk_seg_00004,হালকা আধার দিচ্ছে ঘিরে আচ্ছা আলো নিচ্ছে ছুয়ে অল্প করে হোক না শুরু,Pop
BWIW9aBNmlk_seg_00005,ভালোবাসা এখনো ভিরু হালকা আধার দিচ্ছে ঘিরে আচ্ছা আলো নিছে ছুয়ে অল্প,Pop
BWIW9aBNmlk_seg_00006,করে হোক না শুরু ভালোবাসা এখনো ভীরু হয়নি বলা কোন কথা শুধু,Pop
BWIW9aBNmlk_seg_00007,হয়েছে অনুভূতি হয়নি বলা কোন কোন,Pop
BWIW9aBNmlk_seg_00008,রাখছে সময় পিছু বলবে কি মন কিছু নিবিরে ভালোবাসা,Pop
BWIW9aBNmlk_seg_00009,জড়ালো কিছু আশা রাখছে সময় পিছু বল কি মন কিছু,Pop
BWIW9aBNmlk_seg_00010,নিবিরে ভালোবাসা জড়ালো কিছু আশা হয়নি বলা কোন কথা শুধু,Pop
BWIW9aBNmlk_seg_00011,হয়েছে অনুভূতি হয়নি বলা কোন কথা শুধু হয়েছে,Pop
BWIW9aBNmlk_seg_00012,অনুভূতি ভেজা সন্ধ্যা অঝর বৃষ্টি দূর আকাশে মেঘের প্রতি ধ্বনি পাগলে ঘিরেছে,Pop
BWIW9aBNmlk_seg_00013,আকাশ বইছে বাতাস আড়ালে দাঁড়িয়ে তুমি আরাম আমি হয়নি বলা কোন কথা শুধু,Pop
BWIW9aBNmlk_seg_00014,হয়েছে অনুভূতি হয়নি বলা কোন কথা শুধু হয়েছে অনুভূতি,Pop
CKfhGvUPXkY_seg_00001,আমার পথ চলা পথে যেন বেলা শেষে,Rock
CKfhGvUPXkY_seg_00002,আকাশ আর মোহে আমার স্বপ্ন আমার সাথে যেন স্বপ্নে ফিরে আসে স্বপ্ন,Rock
CKfhGvUPXkY_seg_00003,হয়ে খুঁজে পাই জীবনকে কোন স্বপ্ন ভেবে আমি কার,Rock
CKfhGvUPXkY_seg_00004,আশাতে সুখে চলি পথে পথে যেন কার মায়াতে বাঁধা পড়েছে জীবন যে কত সুখ করবো না কত মিথ্যে প্রলোভন কষ্টের,Rock
CKfhGvUPXkY_seg_00005,আধারে মিলিয়ে আমার স্বপ্ন আমার সাথে যেন স্বপ্নে ফিরে আসে স্বপ্ন,Rock
CKfhGvUPXkY_seg_00006,ভয়ে খুঁজে পাই জীবনে জীবনকে কোন স্বপ্ন ভেবে আমি কার,Rock
